languageCode,translationId,languageName,languageNameInEnglish,dialect,homeDomain,title,description,Redistributable,Copyright,UpdateDate,publicationURL,OTbooks,OTchapters,OTverses,NTbooks,NTchapters,NTverses,DCbooks,DCchapters,DCverses,FCBHID,Certified,inScript,swordName,rodCode,textDirection,downloadable,font,shortTitle,PODISBN,script,sourceDate,licence_ID,licence_File,licence_Language,licence_Dialect,licence_Vernacular_Title,licence_Licence_Type,licence_Licence_Version,licence_CC_Licence_Link,licence_Copyright_Holder,licence_Copyright_Years,licence_Translation_by,licence_date_read,status_download_path,status_download_date,status_unzip_path,status_unzip_date,status_extract_path,status_extract_date,status_extract_renamed_date,status_last_error
arb,arbwbtc,العربية,Arabic,Standard,inscript.org,الكتاب المقدس باللغة العربية - الترجمة المبسطة,"The Holy Bible in Arabic, Easy Reading Version",False,Copyright © 2007 World Bible Translation Center,2015-06-09,http://inscript.org/arbwbtc/,39.0,929.0,23145.0,27.0,260.0,7958.0,0.0,0.0,0.0,ARAWTC,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,arbWBTC2007eb,,rtl,True,Amiri,WBTC Arabic Bible,,Arabic,2020-10-09,arbwbtc,C:\ebible_data\private_projects\arbwbtc\copr.htm,العربية (Arabic),Standard,,Unknown,,,World Bible Translation Center,copyright © 2007,Translation by: World Bible Translation Center,2025-04-30,C:\ebible_data\downloads\arbwbtc--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\arbwbtc,2025-04-30,C:\ebible_data\private_corpus\arb-arbwbtc.txt,2025-04-30,,
arq,arq,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",,ebible.org,العهد الجديد باللهجة الجزائرية,"Arabic, Algerian Spoken: Arabe Algerian NT",False,Copyright © 2018 United Bible Societies,2020-11-10,http://ebible.org/arq/,0.0,0.0,0.0,27.0,260.0,7946.0,0.0,0.0,0.0,ARQUBS,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,arq2018eb,,rtl,True,Amiri,"Arabic, Algerian Spoken: Arabe Algerian NT",,Arabic,2020-11-11,arq,C:\ebible_data\private_projects\arq\copr.htm,"(Arabic, Algerian Spoken)",,العهد الجديد باللهجة الجزائرية,Unknown,,,United Bible Societies,copyright © 2018,,2025-04-30,C:\ebible_data\downloads\arq--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\arq,2025-04-30,C:\ebible_data\private_corpus\arq-arq.txt,2025-04-30,,
auu,auu,Auye,Auye,,ebible.org,Ogatamee Me Etokaa Gipii See Menaa,Auye: Ogatamee Me Etokaa Gipii See Menaa (Bible),False,"Copyright © 2020-2022 Wycliffe Bible Translators, Inc.",2025-04-25,http://ebible.org/auu/,0.0,0.0,0.0,27.0,260.0,7949.0,0.0,0.0,0.0,AUUWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,auu2020eb,,ltr,True,DejaVu Serif,Auye: Ogatamee Me Etokaa Gipii See Menaa (Bible),,Latin,2025-04-26,auu,C:\ebible_data\private_projects\auu\copr.htm,Auye,,Ogatamee Me Etokaa Gipii See Menaa,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2020-2022,,2025-04-30,C:\ebible_data\downloads\auu--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\auu,2025-04-30,C:\ebible_data\private_corpus\auu-auu.txt,2025-04-30,,
avu,avu,Avokaya,Avokaya,,ebible.org,Tã-drı̣̃ Lẽlẽ Óꞌdí Óvârí Kâ,Avokaya: Tã-drı̣̃ Lẽlẽ Óꞌdí Óvârí Kâ New Testament,False,"Copyright © 2002 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/avu/,0.0,0.0,0.0,27.0,260.0,7593.0,0.0,0.0,0.0,AVUWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,avu2002eb,,ltr,True,DejaVu Serif,Avokaya NT,,Latin,2025-04-26,avu,C:\ebible_data\private_projects\avu\copr.htm,(Avokaya),,Tã-drı̣̃ Lẽlẽ Óꞌdí Óvârí Kâ,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2002,,2025-04-30,C:\ebible_data\downloads\avu--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\avu,2025-04-30,C:\ebible_data\private_corpus\avu-avu.txt,2025-04-30,,
ayz,ayz,Mai Brat,Mai Brat,,ebible.org,Watum ro Tuhan Bosi ro Tna,Mai Brat: Watum ro Tuhan Bosi ro Tna (New Testament+),False,"Copyright © 2005 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/ayz/,0.0,0.0,0.0,27.0,260.0,7796.0,0.0,0.0,0.0,AYZWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,ayz2005eb,,ltr,True,DejaVu Serif,Mai Brat: Watum ro Tuhan Bosi ro Tna (New Testament+),,Latin,2025-04-26,ayz,C:\ebible_data\private_projects\ayz\copr.htm,Mai Brat,,Watum ro Tuhan Bosi ro Tna,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2005,,2025-04-30,C:\ebible_data\downloads\ayz--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\ayz,2025-04-30,C:\ebible_data\private_corpus\ayz-ayz.txt,2025-04-30,,
bcc,bcc,"Balochi, Southern","Balochi, Southern",,ebible.org,Balóchi Balochi,"Balochi, Southern: بلۆچی      Balochi (New Testament+)",False,"Copyright © 2016 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bcc/,4.0,252.0,5555.0,27.0,260.0,7939.0,0.0,0.0,0.0,BCCWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bcc2016eb,,ltr,True,Amiri,"Balochi, Southern: بلۆچی      Balochi (New Testament+)",,Arabic,2025-04-26,bcc,C:\ebible_data\private_projects\bcc\copr.htm,"Balochi, Southern",,Balóchi Balochi,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2016,,2025-04-30,C:\ebible_data\downloads\bcc--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bcc,2025-04-30,C:\ebible_data\private_corpus\bcc-bcc.txt,,,
bcc,bccl,"Balochi, Southern","Balochi, Southern",,ebible.org,Balóchi Balochi,Latin version of the Balochi Bible,False,"Copyright © 2015 Wycliffe Bible Translators, Inc.",2020-11-16,http://ebible.org/bccl/,1.0,100.0,1572.0,14.0,176.0,6034.0,0.0,0.0,0.0,BCCLWB,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bccl2015eb,,ltr,True,DejaVu Serif,Latin version of the Balochi Bible,,Latin,2020-11-14,bccl,C:\ebible_data\private_projects\bccl\copr.htm,"Balochi, Southern",,Balóchi Balochi,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2015,,2025-04-30,C:\ebible_data\downloads\bccl--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bccl,2025-04-30,C:\ebible_data\private_corpus\bcc-bccl.txt,2025-04-30,,
bcw,bcw,Bana,Bana,,ebible.org,Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw,Bana: Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw New Testament,False,"Copyright © 2005 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bcw/,0.0,0.0,0.0,27.0,260.0,7898.0,0.0,0.0,0.0,BCWWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bcw2005eb,,ltr,True,DejaVu Serif,Bana: Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw New Testament,,Latin,2025-04-26,bcw,C:\ebible_data\private_projects\bcw\copr.htm,Bana,,Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2005,,2025-04-30,C:\ebible_data\downloads\bcw--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bcw,2025-04-30,C:\ebible_data\private_corpus\bcw-bcw.txt,2025-04-30,,
bdh,bdh,Baka,Baka,,ebible.org,Mɨkánda Lorụ ꞌBɨ Lomo Kɨ́ Dosị́ Éyị́ E,Baka: MƗKÁNDA LORỤ ꞌBƗ LOMO KƗ́ DOSỊ́ ÉYỊ́ E New Testament+,False,"Copyright © 2016 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bdh/,1.0,50.0,1533.0,27.0,260.0,7953.0,0.0,0.0,0.0,BDHWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bdh2016eb,,ltr,True,DejaVu Serif,Baka: MƗKÁNDA LORỤ ꞌBƗ LOMO KƗ́ DOSỊ́ ÉYỊ́ E New Testament+,,Latin,2025-04-26,bdh,C:\ebible_data\private_projects\bdh\copr.htm,Baka,,Mɨkánda Lorụ ꞌBɨ Lomo Kɨ́ Dosị́ Éyị́ E,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2016,,2025-04-30,C:\ebible_data\downloads\bdh--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bdh,2025-04-30,C:\ebible_data\private_corpus\bdh-bdh.txt,2025-04-30,,
bds,bds,Burunge,Burunge,,ebible.org,Burunge,Burunge: Ila⁄imbidu Gu ⁄abu hari Burungaisoo (Bible),False,"Copyright © 2019 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bds/,0.0,0.0,0.0,27.0,260.0,7930.0,0.0,0.0,0.0,BDSWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bds2019eb,,ltr,True,DejaVu Serif,Burunge: Ila⁄imbidu Gu ⁄abu hari Burungaisoo (Bible),,Latin,2025-04-26,bds,C:\ebible_data\private_projects\bds\copr.htm,Burunge,,Burunge,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2019,,2025-04-30,C:\ebible_data\downloads\bds--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bds,2025-04-30,C:\ebible_data\private_corpus\bds-bds.txt,2025-04-30,,
ben,ben2006,বাংলা,Bengali,,ebible.org,পবিত্র বাইবেল,Bengali Holy Bible: Easy-to-Read Version™,False,Copyright © 2001-2006 World Bible Translation Center,2013-10-15,http://ebible.org/ben2006/,39.0,929.0,22776.0,27.0,260.0,7908.0,0.0,0.0,0.0,BNGWTC,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,ben2006eb,,ltr,True,Mukti,Bengali Bible (ERV),,Bengali,2020-10-09,ben2006,C:\ebible_data\private_projects\ben2006\copr.htm,বাংলা (Bengali),,পবিত্র বাইবেল,Unknown,,,World Bible Translation Center,copyright © 2001-2006,Translation by: World Bible Translation Center,2025-04-30,C:\ebible_data\downloads\ben2006--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\ben2006,2025-04-30,C:\ebible_data\private_corpus\ben-ben2006.txt,2025-04-30,,
bex,bex,Jur Mödö,Jur Mödö,,ebible.org,Jur Mödö,"Jur Modo: Ndose Kɔdɔ Laka, Buku ꞌba Tisaki ni Tɔdɔ to Lömu Laꞌja ꞌBa Yësu Kurïsïtö Ŋere Ze New Testament+",False,"Copyright © 1998 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bex/,2.0,90.0,2720.0,27.0,260.0,7884.0,0.0,0.0,0.0,BEXWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bex1998eb,929.0,ltr,True,DejaVu Serif,"Jur Mödö NT, Genesis, and Exodus",,Latin,2025-04-26,bex,C:\ebible_data\private_projects\bex\copr.htm,Jur Mödö,,Jur Mödö,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 1998,,2025-04-30,C:\ebible_data\downloads\bex--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bex,2025-04-30,C:\ebible_data\private_corpus\bex-bex.txt,2025-04-30,,
bfd,bfd,Bafut,Bafut,,ebible.org,Bafut,Bafut: Ǹtoò Kristo yî Ǹsɨgɨ̀nǝ̀: mɨ̀kàà yî mfiì New Testament,False,"Copyright © 1999 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bfd/,0.0,0.0,0.0,27.0,260.0,7957.0,0.0,0.0,0.0,BFDWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bfd1999eb,,ltr,True,DejaVu Serif,Bafut: Ǹtoò Kristo yî Ǹsɨgɨ̀nǝ̀: mɨ̀kàà yî mfiì New Testament,,Latin,2025-04-26,bfd,C:\ebible_data\private_projects\bfd\copr.htm,Bafut,,Bafut,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 1999,,2025-04-30,C:\ebible_data\downloads\bfd--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bfd,2025-04-30,C:\ebible_data\private_corpus\bfd-bfd.txt,2025-04-30,,
bib,bib,Bissa,Bissa,,ebible.org,Bissa,Bisa: Wosoci Gʊaasɩbabaa Daa New Testament,False,"Copyright © 2001 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bib/,0.0,0.0,0.0,27.0,260.0,7947.0,0.0,0.0,0.0,BIBWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bib2001eb,1746.0,ltr,True,DejaVu Serif,Bisa: Wosoci Gʊaasɩbabaa Daa New Testament,,Latin,2025-04-26,bib,C:\ebible_data\private_projects\bib\copr.htm,Bissa,,Bissa,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2001,,2025-04-30,C:\ebible_data\downloads\bib--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bib,2025-04-30,C:\ebible_data\private_corpus\bib-bib.txt,2025-04-30,,
bim,bim,Bimoba,Bimoba,,ebible.org,Yennu Gbouŋ Mɔɔr,Bimoba: Yennu Gbouŋ Mɔɔr Bible,False,"Copyright © 2003 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bim/,39.0,929.0,22423.0,27.0,260.0,7907.0,0.0,0.0,0.0,BIMWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bim2003eb,,ltr,True,DejaVu Serif,Bimoba: Yennu Gbouŋ Mɔɔr Bible,,Latin,2025-04-26,bim,C:\ebible_data\private_projects\bim\copr.htm,Bimoba,,Yennu Gbouŋ Mɔɔr,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2003,,2025-04-30,C:\ebible_data\downloads\bim--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bim,2025-04-30,C:\ebible_data\private_corpus\bim-bim.txt,2025-04-30,,
biv,biv,"Birifor, Southern","Birifor, Southern",,ebible.org,"A Nãaŋmɩn Nɛtɩr Oaalaa Gãn, Bɩrfʊɔr","Birifor, Southern: A Nãaŋmɩn Nɛtɩr Oaalaa Gãn, Bɩrfʊɔr New Testament",False,"Copyright © 2006 Wycliffe Bible Translators, Inc.",2020-11-30,http://ebible.org/biv/,0.0,0.0,0.0,27.0,260.0,7942.0,0.0,0.0,0.0,BIVWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,biv2006eb,,ltr,True,DejaVu Serif,Southern Birifor NT,,Latin,2020-12-01,biv,C:\ebible_data\private_projects\biv\copr.htm,"Birifor, Southern",,"A Nãaŋmɩn Nɛtɩr Oaalaa Gãn, Bɩrfʊɔr",Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2006,,2025-04-30,C:\ebible_data\downloads\biv--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\biv,2025-04-30,C:\ebible_data\private_corpus\biv-biv.txt,2025-04-30,,
bjn,bjn,Banjar,Banjar,,ebible.org,Bahasa Banjar,"Jon, Rut in the Banjar language of Malaysia",False,"Copyright © 2019 Wycliffe Bible Translators, Inc.",2025-04-26,http://ebible.org/bjn/,4.0,26.0,543.0,1.0,24.0,1142.0,0.0,0.0,0.0,BJNWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bjn2019eb,,ltr,True,DejaVu Serif,"Jon, Rut",,Latin,2025-04-26,bjn,C:\ebible_data\private_projects\bjn\copr.htm,Banjar,,Bahasa Banjar,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2019,,2025-04-30,C:\ebible_data\downloads\bjn--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bjn,2025-04-30,C:\ebible_data\private_corpus\bjn-bjn.txt,2025-04-30,,
blr,blr,Plang,Blang,,ebible.org,Plang,The New Testament in the Blang language of Myanmar,False,"Copyright © 2021 Wycliffe Bible Translators, Inc.",2025-04-29,http://ebible.org/blr/,0.0,0.0,0.0,27.0,260.0,7950.0,0.0,0.0,0.0,BLRWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,blr2021eb,,ltr,True,DejaVu Serif,Blang NT,,Latin,2025-04-29,blr,C:\ebible_data\private_projects\blr\copr.htm,Plang (Blang),,Plang,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2021,,2025-04-30,C:\ebible_data\downloads\blr--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\blr,2025-04-30,C:\ebible_data\private_corpus\blr-blr.txt,2025-04-30,,
blt,blt,Thai Den,Thai Den,,ebible.org,Tai Dam,Tai Dam: Tai Dam (New Testament+),False,"Copyright © 2020 Wycliffe Bible Translators, Inc.",2025-04-29,http://ebible.org/blt/,2.0,24.0,627.0,27.0,260.0,7864.0,0.0,0.0,0.0,BLTWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,blt2020eb,,ltr,True,DejaVu Serif,Tai Dam NT,,Latin,2025-04-29,blt,C:\ebible_data\private_projects\blt\copr.htm,Thai Den,,Tai Dam,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2020,,2025-04-30,C:\ebible_data\downloads\blt--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\blt,2025-04-30,C:\ebible_data\private_corpus\blt-blt.txt,2025-04-30,,
